,GIVEN_NAME,IUPAC_NAME,SMILES,MW,H_ACCEPTOR,H_DONOR,TPSA
0,Cocamidopropyl Betaine,2-{3-(dodecanamido)propylammonio}acetate,C(CCCCCCCCCCC)(=O)NCCC[NH2+]CC(=O)[O-],314.4700000000001,3,2,85.84
1,Dimethiconol,Dimethylsilanediol,C[Si](O)(O)C,92.16999999999999,2,2,40.46
2,Glycol Distearate,Dimethylsilanediol,C[Si](O)(O)C,92.16999999999999,2,2,40.46
3,Hydroxypropyltrimonium Chloride,2-{2-hydroxy-3-[(trimethyl)ammonio]propoxy}ethanol,OC(COCCO)C[N+](C)(C)C,178.25199999999998,3,2,49.69
4,Cocamide MEA,N-(2-hydroxyethyl)dodecanamide,OCCNC(CCCCCCCCCCC)=O,243.3909999999999,2,2,49.33
5,Cocos Nucifera (Coconut) Oil,1-Decanoyloxy-3-octanoyloxypropan-2-yl dodecanoate,C(CCCCCCCCCCC)(=O)OC(COC(CCCCCCCCC)=O)COC(CCCCCCC)=O,554.8530000000006,6,0,78.9
6,Butylcarbamate,Butylcarbamate,C(CCC)NC([O-])=O,116.13999999999999,2,1,52.16
7,Limonene,1-methyl-4-(1-methylethenyl)-cyclohexene,CC1=CCC(CC1)C(=C)C,136.238,0,0,0.0
8,Sodium C12-13 Pareth Sulfate,"poly(oxy-1,2-ethanediyl)",O(CC[*:2])[*:1],44.05299999999999,1,0,9.23
9,Sodium Gluconate,Sodium Gluconate,O=C([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[O-].[Na+],218.137,7,5,141.28
10,Citric Acid,Citric Acid,C(CC(O)(C(=O)O)CC(=O)O)(=O)O,192.123,4,4,132.13
11,Carbomer,poly(1-carboxyethylene),C(=O)(O)C(C[*:2])[*:1],72.06300000000002,1,1,37.3
12,PPG-9,2-(2-hydroxypropoxy)propan-1-ol,OC(COC(CO)C)C,134.17499999999998,3,2,49.69
13,Disodium EDTA,disodium dihydrogen ethylenediaminetetraacetate,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+],336.208,8,2,161.34
14,Benzyl Salicylate,Benzyl Salicylate,C(C=1C(O)=CC=CC1)(=O)OCC1=CC=CC=C1,228.24699999999999,3,1,46.53
15,Linalool,Linalool,C=CC(O)(C)CCC=C(C)C,154.253,1,1,20.23
16,Sodium Benzoate,Sodium Benzoate,C(C1=CC=CC=C1)(=O)[O-].[Na+],144.105,2,0,40.129999999999995
17,Sodium Chloride,Sodium Chloride,[Cl-].[Na+],58.443,0,0,0.0
18,Sodium Laureth Sulfate,sodium 2-(dodecyloxy)ethyl sulfate,S(=O)(=O)(OCCOCCCCCCCCCCCC)[O-].[Na+],332.438,5,0,75.66000000000001
19,TEADodecylbenzenesulfonate,dodecylbenzenesulphonic acid,C(CCCCCCCCCCC)C1=C(C=CC=C1)S(=O)(=O)O,326.50200000000007,2,1,54.370000000000005
20,PEG-45M,poly(oxyethylene),O(CC[*:2])[*:1],44.05299999999999,1,0,9.23
21,Iodopropynyl,Iodopropynyl,ICC#[C],164.95299999999997,0,0,0.0
22,Citronellol,Citronellol,CC(C)=CCCC(C)CCO,156.269,1,1,20.23
23,Glycerin,Glycerin,OCC(O)CO,92.09400000000001,3,3,60.69
24,Guar,2-hydroxypropyl ether,OC(COCC(C)O)C,134.17499999999998,3,2,49.69
25,Hexyl Cinnamal,Hexyl Cinnamal,C(CCCCC)[C]C=CC1=CC=CC=C1,200.32500000000002,0,0,0.0
26,Titanium Dioxide (CI 77891).,Titanium dioxide,[O-2].[O-2].[Ti+4],79.865,0,0,57.0
