,GIVEN_NAME,IUPAC_NAME,SMILES,MW,H_ACCEPTOR,H_DONOR,TPSA
0,cetearyl alcohol,"1-hexadecanol, compound with 1-octadecanol (1:1)",C(CCCCCCCCCCCCCCCCC)O.C(CCCCCCCCCCCCCCC)O,512.9480000000007,2,2,40.46
1,cetyl alcohol,cetyl alcohol,C(CCCCCCCCCCCCCCC)O,242.44699999999995,1,1,20.23
2,propylene glycol,propylene glycol,C(C(C)O)O,76.095,2,2,40.46
3,behentrimonium chloride,"N,N,N-trimethyldocosan-1-aminium chloride",[Cl-].C[N+](CCCCCCCCCCCCCCCCCCCCCC)(C)C,404.1670000000003,0,0,0.0
4,dimethicone,polydimethylsiloxane,C[Si](O[*:2])(C)[*:1],74.155,1,0,9.23
5,panthenol,panthenol,OCCCNC([C@H](O)C(C)(C)CO)=O,205.25399999999996,4,4,89.78999999999999
6,cetrimonium chloride,"1-hexadecanaminium, N,N,N-trimethyl-, chloride",[Cl-].C[N+](CCCCCCCCCCCCCCCC)(C)C,320.00500000000005,0,0,0.0
7,ethylhexylglycerin,ethylhexylglycerin,C(C)C(O)(C(O)CO)CCCCCC,204.30999999999992,3,3,60.69
8,tocopheryl acetate,"(2R)-2,5,7,8-Tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-yl acetate",C(C)(=O)OC=1C(=C(C2=C(CC[C@](O2)(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C)C1C)C)C,472.75400000000036,3,0,35.53
9,phenoxyethanol,phenoxyethanol,O(C1=CC=CC=C1)C(C)O,138.166,2,1,29.46
10,chlorphenesin,"3-(4-chlorophenoxy)propane-1,2-diol",ClC1=CC=C(OCC(CO)O)C=C1,202.637,3,2,49.69
11,sodium benzoate,sodium benzoate,C(C1=CC=CC=C1)(=O)[O-].[Na+],144.105,2,0,40.129999999999995
12,citric acid,citric acid,C(CC(O)(C(=O)O)CC(=O)O)(=O)O,192.123,4,4,132.13
13,ascorbic acid,ascorbic acid,O=C1C(O)=C(O)[C@H](O1)[C@@H](O)CO,176.12399999999997,6,4,107.22000000000001
