Water,Butane
Propane,Propane
Phenoxyethanol,Alcohol Denat. (Sd Alcohol 40-B)
"5-[5-[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxy-6-[[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxymethyl]-3,4-dihydroxyoxan-2-yl]oxy-6-(hydroxymethyl)-2-methyloxane-3,4-diol",Oryza Sativa (Rice/Riz) Starch
1-methyl-4-(1-methylethenyl)-cyclohexene,Fragrance/Parfum
Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Disteardimonium Hectorite
Hydroxycitronellal,Cyclopentasiloxane
Water,Water/Eau/Aqua
"1,3,5,7-Tetrahydroxy-2,4,6,8,9,10-hexaoxa-1,3,5,7-tetrasilatricyclo[5.1.1.13,5]decane",Hippophae Rhamnoides (Sea Buckthorn/Argousier) Extract
Cyclopentasiloxane,Phenoxyethanol
"(3S)-3,7-dimethyloct-6-en-1-ol",Butylphenyl Methylpropional
3-(4-tert-Butylphenyl)-2-methylpropanal,Limonene
Butane,Hydroxycitronellal
Ethanol,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde
citronellol,"(3S)-3,7-dimethyloct-6-en-1-ol"
