Water," water"
Propylene Glycol,"Propylene Glycol"
Cetearyl Alcohol,"1-hexadecanol, compound with 1-octadecanol (1:1)"
Cyclopentasiloxane,"decamethylcyclopentasiloxane"
Behentrimonium Chloride,"N,N,N-trimethyldocosan-1-aminium chloride"
Panthenol,"Panthenol"
Silk Amino Acids,"L-Serine"
Aloe Barbadensis Leaf Juice,"(E)-1-(4-methylphenyl)-3-(3-nitrophenyl)prop-2-en-1-one"
Camellia Sinensis Leaf Extract,"[(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] 3,4,5-trihydroxybenzoate"
Quaternium-80,"dimethylsiloxane"
Butylene Glycol,"butane-1,3-diol"
Phenoxyethanol,"Phenoxyethanol"
Methylparaben,"Methylparaben"
Propylparaben,"Propylparaben"
Ethylparaben,"Ethylparaben"
Citronellol,"Citronellol"
Hexyl Cinnamal,"Hexyl Cinnamal"
Limonene,"1-methyl-4-(1-methylethenyl)-cyclohexene"
Linalool,"Linalool"
Silk Amino Acids,"L-Alanine"
Silk Amino Acids,"Glycine"
